RunID,K_epochs,actor_lr,c1,c2,cal_total_loss,critic_lr,early_stop,eps_clip,gamma,kl_threshold,lamb,layer_num,max_grad_norm,memory_size,minibatch_size,num_cells,parameters_hardshare
Run0,20,0.0009687180879219574,0.3960110417711302,0.02780453763113514,True,0.000514823477909455,False,0.1606231730339744,0.9564974063621696,0.15,0.9000910684164937,2,0.5,2048,64,128,False
Run1,5,0.0009134404261698048,0.5956953436194549,0.09247596194612975,True,0.00028989377016621395,False,0.24056979444314244,0.9987878178914849,0.15,0.9436939287427174,6,1,4096,512,128,False
Run2,20,0.0004804885639819377,0.25655677354734296,0.05491114930804483,True,0.0007399033208521845,False,0.2087512236029328,0.9756990218273234,0.15,0.9191586916450998,3,1,4096,32,1024,False
Run3,5,0.000824269763718842,0.3708034899783281,0.0739764689005315,True,0.0003026589313715464,False,0.25613041386916535,0.9820802694993238,0.15,0.9365280279790682,6,1,4096,256,128,False
Run4,20,0.00038525595539700726,0.8189401455109198,0.07840051440863526,True,0.0006223783710870336,False,0.24062199319594915,0.994248602815411,0.15,0.9520242748567946,4,1,2048,1024,256,False
Run5,5,0.00043392469808494177,0.9958644134482388,0.05757460182425651,True,0.0004906776214996606,False,0.2558664805801788,0.9779684128113508,0.15,0.9378657086074376,5,0.5,2048,512,512,False
Run6,5,0.0008183028597433899,0.14403582934848042,0.08882025957175935,True,0.0008135806894236072,False,0.25950903743721354,0.9851990782738064,0.15,0.9684917749924938,4,0.5,2048,1024,64,False
Run7,5,0.0008094886324973496,0.761225536754943,0.03901457455546723,True,0.0008512624677455534,False,0.24902890440869993,0.9923731610427776,0.15,0.9206300161266224,2,1,4096,64,128,False
Run8,20,0.0002950491617850857,0.7178331686009832,0.05955551095220535,True,0.000877269089134089,False,0.1098698413235226,0.9627592003968194,0.15,0.9892058190920322,5,0.5,2048,128,64,False
Run9,10,0.00016330484365207945,0.13753776223914851,0.04054829836320806,True,0.0006520580817265179,False,0.11530145851539764,0.956329521931364,0.15,0.984797642748941,6,1,2048,512,1024,False
Run10,5,0.0007598805818541774,0.2958308082476908,0.05056404630191136,True,0.000566606091719039,False,0.2244833512489844,0.990717246510146,0.15,0.9841194364035264,4,1,2048,32,256,False
Run11,5,0.0006860518513566001,0.6461481880927713,0.04746896712355763,True,0.0006431533743382517,False,0.2339078231833417,0.9501394482574388,0.15,0.9088531057267236,3,0.5,1024,128,1024,False
Run12,5,0.0005410347705296176,0.8624550677157147,0.07900671677481003,True,0.0002326043300751999,False,0.18931510103189925,0.961619756871363,0.15,0.9618651360378412,4,0.5,1024,64,64,False
Run13,20,0.0007233334047335451,0.29326805342275875,0.04713959908347533,True,0.0005736388069915578,False,0.16977215125924489,0.9962889715407268,0.15,0.9494217893059684,6,0.5,2048,512,64,False
Run14,20,0.0004550399858549173,0.8413962317270645,0.010857911553821644,True,0.000584232856030145,False,0.253467312489644,0.9617349380012388,0.15,0.9767832994459752,6,1,1024,1024,128,False
Run15,10,0.0002930298587074876,0.4305025414299235,0.04107736063025154,True,0.00044180892525200313,False,0.11582494329419274,0.995601594831057,0.15,0.9691650876705544,3,1,1024,32,64,False
Run16,5,0.0006314759958319426,0.3261704791513158,0.04098075199699826,True,0.0003305901937494841,False,0.1306059575056259,0.9693152173345944,0.15,0.9438478132742112,6,1,4096,128,1024,False
Run17,10,0.0006689619339797076,0.5072959251908117,0.0032363935055112706,True,0.0003910998436491236,False,0.1203624612479526,0.9854370750917196,0.15,0.9030705685335018,6,0.5,1024,64,512,False
Run18,20,0.00011738567488240316,0.4687819884553003,0.04344110107409707,True,0.0007471540295341485,False,0.29390923542307174,0.9740168492427438,0.15,0.9159470354200092,3,1,4096,512,256,False
Run19,20,0.0008009462613537666,0.7198991145058175,0.005218155301419836,True,0.0004740239713528508,False,0.2112551396673243,0.9660167434750916,0.15,0.9883119945116776,6,0.5,4096,32,1024,False
Run20,20,0.0007053444836446132,0.4216215077098422,0.04871548103646783,True,0.0005459843514434932,False,0.17857369433999842,0.9704564087612496,0.15,0.922200494325168,3,1,4096,256,128,False
Run21,5,0.000699809462439779,0.9748075086709184,0.07217745774756498,True,0.0008101434562057319,False,0.25536595198500356,0.994675119883256,0.15,0.9680967711153942,5,1,2048,64,64,False
Run22,5,0.0007229231512838946,0.54877061059661,0.0910737357927542,True,0.0009240213068233314,False,0.22754561867756887,0.9945423061032724,0.15,0.930637471908636,4,1,1024,64,128,False
Run23,5,0.0007185919695596986,0.8807599795797935,0.068901419259238,True,0.0004650877643585948,False,0.178123848483506,0.990233679974988,0.15,0.9887215029275128,4,1,1024,64,64,False
Run24,10,0.0008234944652562327,0.5080946547785443,0.03471656981859078,True,0.00019495387269424084,False,0.186422849471494,0.9943317541529209,0.15,0.9627256877745212,5,1,1024,32,128,False
Run25,10,0.0008440240872139867,0.5652099003681618,0.027186194712779513,True,0.0006051441285371144,False,0.1713825019528633,0.9988290928754662,0.15,0.9535919934620372,4,1,2048,32,64,False
Run26,20,0.0009033357770810004,0.7412484106780065,0.08428793800321535,True,0.0007004780644307698,False,0.18568815156953156,0.9974879784955516,0.15,0.9493635442632729,5,1,2048,128,64,False
Run27,5,0.0008550918929900888,0.7564445406018508,0.08847943398050478,True,0.0003522862753139389,False,0.13542057520602233,0.9963717867890466,0.15,0.9726381890576592,5,1,4096,64,128,False
Run28,5,0.0008461018714298901,0.7917645430065678,0.07287173640892654,True,0.0006478637483489119,False,0.2260039100619932,0.9970071748339034,0.15,0.9745414916490964,2,1,4096,32,256,False
Run29,10,0.000797991264545457,0.69093865841947,0.07868216148433124,True,0.00021392368518308912,False,0.15750807169081654,0.9982622367331928,0.15,0.987419775068703,4,1,1024,128,128,False
Run30,10,0.0009292817170840856,0.1422032942128475,0.0902487716506184,True,0.0004903996240828343,False,0.12278210389465832,0.9975150201157847,0.15,0.9133184698359372,6,1,2048,32,64,False
Run31,5,0.0009967481815484698,0.7502941556556472,0.020825861095158795,True,0.0008677317622134456,False,0.15323134436949376,0.997527372336731,0.15,0.94629052070343,4,1,4096,32,64,False
Run32,5,0.0009442032198144024,0.7943507298100908,0.019813904802501472,True,0.00022527095196304872,False,0.10820600430025348,0.9977028519482328,0.15,0.928695670252541,6,1,2048,512,64,False
